iter	Passed	Remaining
965	6100	214
966	6102	208
967	6117	202
968	6120	195
969	6129	189
970	6131	183
971	6133	176
972	6142	170
973	6146	164
974	6149	157
975	6166	151
976	6168	145
977	6185	139
978	6194	132
979	6196	126
980	6198	120
981	6200	113
982	6208	107
983	6229	101
984	6260	95
985	6270	89
986	6273	82
987	6275	76
988	6277	69
989	6281	63
990	6283	57
991	6285	50
992	6288	44
993	6298	38
994	6301	31
995	6303	25
996	6305	18
997	6312	12
998	6314	6
999	6316	0
